2021-07-14 16:39:09.4842 | TRACE | WebAPIClient.Program | Average speed: 87476,43 Kb/sec; 85,43Mb/sec
2021-07-14 16:39:09.5875 | TRACE | WebAPIClient.Program | File received for the 34 time
2021-07-14 16:39:09.5880 | TRACE | WebAPIClient.Program | RunTime: 00:00:00.09
2021-07-14 16:39:09.5880 | TRACE | WebAPIClient.Program | Average speed: 102462,4 Kb/sec; 100,06Mb/sec
2021-07-14 16:39:09.6982 | TRACE | WebAPIClient.Program | File received for the 35 time
2021-07-14 16:39:09.6982 | TRACE | WebAPIClient.Program | RunTime: 00:00:00.10
2021-07-14 16:39:09.6982 | TRACE | WebAPIClient.Program | Average speed: 95539,05 Kb/sec; 93,3Mb/sec
2021-07-14 16:39:09.7945 | TRACE | WebAPIClient.Program | File received for the 36 time
2021-07-14 16:39:09.7945 | TRACE | WebAPIClient.Program | RunTime: 00:00:00.09
2021-07-14 16:39:09.7945 | TRACE | WebAPIClient.Program | Average speed: 109909,81 Kb/sec; 107,33Mb/sec
2021-07-14 16:39:09.9088 | TRACE | WebAPIClient.Program | File received for the 37 time
2021-07-14 16:39:09.9088 | TRACE | WebAPIClient.Program | RunTime: 00:00:00.11
2021-07-14 16:39:09.9088 | TRACE | WebAPIClient.Program | Average speed: 92579,28 Kb/sec; 90,41Mb/sec
2021-07-14 16:39:09.9998 | TRACE | WebAPIClient.Program | File received for the 38 time
2021-07-14 16:39:09.9998 | TRACE | WebAPIClient.Program | RunTime: 00:00:00.08
2021-07-14 16:39:09.9998 | TRACE | WebAPIClient.Program | Average speed: 115660,34 Kb/sec; 112,95Mb/sec
2021-07-14 16:39:10.1030 | TRACE | WebAPIClient.Program | File received for the 39 time
2021-07-14 16:39:10.1035 | TRACE | WebAPIClient.Program | RunTime: 00:00:00.09
2021-07-14 16:39:10.1035 | TRACE | WebAPIClient.Program | Average speed: 104088,63 Kb/sec; 101,65Mb/sec
2021-07-14 16:39:10.1913 | TRACE | WebAPIClient.Program | File received for the 40 time
2021-07-14 16:39:10.1913 | TRACE | WebAPIClient.Program | RunTime: 00:00:00.08
2021-07-14 16:39:10.1913 | TRACE | WebAPIClient.Program | Average speed: 119681,12 Kb/sec; 116,88Mb/sec
2021-07-14 16:39:10.2813 | TRACE | WebAPIClient.Program | File received for the 41 time
2021-07-14 16:39:10.2813 | TRACE | WebAPIClient.Program | RunTime: 00:00:00.08
2021-07-14 16:39:10.2813 | TRACE | WebAPIClient.Program | Average speed: 119297,68 Kb/sec; 116,5Mb/sec
2021-07-14 16:39:10.3869 | TRACE | WebAPIClient.Program | File received for the 42 time
2021-07-14 16:39:10.3869 | TRACE | WebAPIClient.Program | RunTime: 00:00:00.10
2021-07-14 16:39:10.3869 | TRACE | WebAPIClient.Program | Average speed: 99598,3 Kb/sec; 97,26Mb/sec
2021-07-14 16:39:10.4759 | TRACE | WebAPIClient.Program | File received for the 43 time
2021-07-14 16:39:10.4759 | TRACE | WebAPIClient.Program | RunTime: 00:00:00.08
2021-07-14 16:39:10.4759 | TRACE | WebAPIClient.Program | Average speed: 119281,7 Kb/sec; 116,49Mb/sec
2021-07-14 16:39:10.5656 | TRACE | WebAPIClient.Program | File received for the 44 time
2021-07-14 16:39:10.5656 | TRACE | WebAPIClient.Program | RunTime: 00:00:00.08
2021-07-14 16:39:10.5656 | TRACE | WebAPIClient.Program | Average speed: 117313,48 Kb/sec; 114,56Mb/sec
2021-07-14 16:39:10.6661 | TRACE | WebAPIClient.Program | File received for the 45 time
2021-07-14 16:39:10.6661 | TRACE | WebAPIClient.Program | RunTime: 00:00:00.09
2021-07-14 16:39:10.6661 | TRACE | WebAPIClient.Program | Average speed: 104968,37 Kb/sec; 102,51Mb/sec
2021-07-14 16:39:10.7565 | TRACE | WebAPIClient.Program | File received for the 46 time
2021-07-14 16:39:10.7565 | TRACE | WebAPIClient.Program | RunTime: 00:00:00.08
2021-07-14 16:39:10.7565 | TRACE | WebAPIClient.Program | Average speed: 119477,24 Kb/sec; 116,68Mb/sec
2021-07-14 16:39:10.8458 | TRACE | WebAPIClient.Program | File received for the 47 time
2021-07-14 16:39:10.8458 | TRACE | WebAPIClient.Program | RunTime: 00:00:00.08
2021-07-14 16:39:10.8458 | TRACE | WebAPIClient.Program | Average speed: 117932,81 Kb/sec; 115,17Mb/sec
2021-07-14 16:39:10.9420 | TRACE | WebAPIClient.Program | File received for the 48 time
2021-07-14 16:39:10.9420 | TRACE | WebAPIClient.Program | RunTime: 00:00:00.09
2021-07-14 16:39:10.9420 | TRACE | WebAPIClient.Program | Average speed: 109767,6 Kb/sec; 107,19Mb/sec
2021-07-14 16:39:11.0265 | TRACE | WebAPIClient.Program | File received for the 49 time
2021-07-14 16:39:11.0265 | TRACE | WebAPIClient.Program | RunTime: 00:00:00.08
2021-07-14 16:39:11.0265 | TRACE | WebAPIClient.Program | Average speed: 124942,35 Kb/sec; 122,01Mb/sec
2021-07-14 16:39:11.1328 | TRACE | WebAPIClient.Program | File received for the 50 time
2021-07-14 16:39:11.1328 | TRACE | WebAPIClient.Program | RunTime: 00:00:00.10
2021-07-14 16:39:11.1351 | TRACE | WebAPIClient.Program | Average speed: 99210,39 Kb/sec; 96,89Mb/sec
2021-07-14 16:39:11.2820 | TRACE | WebAPIClient.Program | File received for the 51 time
2021-07-14 16:39:11.2820 | TRACE | WebAPIClient.Program | RunTime: 00:00:00.14
2021-07-14 16:39:11.2820 | TRACE | WebAPIClient.Program | Average speed: 70145,87 Kb/sec; 68,5Mb/sec
2021-07-14 16:39:11.4116 | TRACE | WebAPIClient.Program | File received for the 52 time
2021-07-14 16:39:11.4116 | TRACE | WebAPIClient.Program | RunTime: 00:00:00.12
2021-07-14 16:39:11.4116 | TRACE | WebAPIClient.Program | Average speed: 82121,23 Kb/sec; 80,2Mb/sec
2021-07-14 16:39:11.4997 | TRACE | WebAPIClient.Program | File received for the 53 time
2021-07-14 16:39:11.4997 | TRACE | WebAPIClient.Program | RunTime: 00:00:00.08
2021-07-14 16:39:11.4997 | TRACE | WebAPIClient.Program | Average speed: 120434,17 Kb/sec; 117,61Mb/sec
2021-07-14 16:39:11.5940 | TRACE | WebAPIClient.Program | File received for the 54 time
2021-07-14 16:39:11.5940 | TRACE | WebAPIClient.Program | RunTime: 00:00:00.09
2021-07-14 16:39:11.5940 | TRACE | WebAPIClient.Program | Average speed: 112314,45 Kb/sec; 109,68Mb/sec
2021-07-14 16:39:11.6806 | TRACE | WebAPIClient.Program | File received for the 55 time
2021-07-14 16:39:11.6806 | TRACE | WebAPIClient.Program | RunTime: 00:00:00.08
2021-07-14 16:39:11.6830 | TRACE | WebAPIClient.Program | Average speed: 122448,64 Kb/sec; 119,58Mb/sec
2021-07-14 16:39:11.7697 | TRACE | WebAPIClient.Program | File received for the 56 time
2021-07-14 16:39:11.7697 | TRACE | WebAPIClient.Program | RunTime: 00:00:00.08
2021-07-14 16:39:11.7697 | TRACE | WebAPIClient.Program | Average speed: 119203,25 Kb/sec; 116,41Mb/sec
2021-07-14 16:39:11.8714 | TRACE | WebAPIClient.Program | File received for the 57 time
2021-07-14 16:39:11.8714 | TRACE | WebAPIClient.Program | RunTime: 00:00:00.09
2021-07-14 16:39:11.8714 | TRACE | WebAPIClient.Program | Average speed: 104757,68 Kb/sec; 102,3Mb/sec
2021-07-14 16:39:11.9644 | TRACE | WebAPIClient.Program | File received for the 58 time
2021-07-14 16:39:11.9644 | TRACE | WebAPIClient.Program | RunTime: 00:00:00.08
2021-07-14 16:39:11.9644 | TRACE | WebAPIClient.Program | Average speed: 117115,57 Kb/sec; 114,37Mb/sec
2021-07-14 16:39:12.0536 | TRACE | WebAPIClient.Program | File received for the 59 time
2021-07-14 16:39:12.0536 | TRACE | WebAPIClient.Program | RunTime: 00:00:00.08
2021-07-14 16:39:12.0536 | TRACE | WebAPIClient.Program | Average speed: 119159,55 Kb/sec; 116,37Mb/sec
2021-07-14 16:39:12.1437 | TRACE | WebAPIClient.Program | File received for the 60 time
2021-07-14 16:39:12.1437 | TRACE | WebAPIClient.Program | RunTime: 00:00:00.08
2021-07-14 16:39:12.1437 | TRACE | WebAPIClient.Program | Average speed: 117073,26 Kb/sec; 114,33Mb/sec
2021-07-14 16:39:12.2336 | TRACE | WebAPIClient.Program | File received for the 61 time
2021-07-14 16:39:12.2336 | TRACE | WebAPIClient.Program | RunTime: 00:00:00.08
2021-07-14 16:39:12.2336 | TRACE | WebAPIClient.Program | Average speed: 120478,38 Kb/sec; 117,65Mb/sec
2021-07-14 16:39:12.3255 | TRACE | WebAPIClient.Program | File received for the 62 time
2021-07-14 16:39:12.3255 | TRACE | WebAPIClient.Program | RunTime: 00:00:00.08
2021-07-14 16:39:12.3255 | TRACE | WebAPIClient.Program | Average speed: 115083,59 Kb/sec; 112,39Mb/sec
2021-07-14 16:39:12.4272 | TRACE | WebAPIClient.Program | File received for the 63 time
2021-07-14 16:39:12.4272 | TRACE | WebAPIClient.Program | RunTime: 00:00:00.09
2021-07-14 16:39:12.4272 | TRACE | WebAPIClient.Program | Average speed: 104098,89 Kb/sec; 101,66Mb/sec
2021-07-14 16:39:12.5129 | TRACE | WebAPIClient.Program | File received for the 64 time
2021-07-14 16:39:12.5129 | TRACE | WebAPIClient.Program | RunTime: 00:00:00.08
2021-07-14 16:39:12.5129 | TRACE | WebAPIClient.Program | Average speed: 123696,45 Kb/sec; 120,8Mb/sec
2021-07-14 16:39:12.6003 | TRACE | WebAPIClient.Program | File received for the 65 time
2021-07-14 16:39:12.6003 | TRACE | WebAPIClient.Program | RunTime: 00:00:00.08
2021-07-14 16:39:12.6003 | TRACE | WebAPIClient.Program | Average speed: 121194,05 Kb/sec; 118,35Mb/sec
2021-07-14 16:39:12.6930 | TRACE | WebAPIClient.Program | File received for the 66 time
2021-07-14 16:39:12.6930 | TRACE | WebAPIClient.Program | RunTime: 00:00:00.08
2021-07-14 16:39:12.6930 | TRACE | WebAPIClient.Program | Average speed: 113834,57 Kb/sec; 111,17Mb/sec
2021-07-14 16:39:12.7823 | TRACE | WebAPIClient.Program | File received for the 67 time
2021-07-14 16:39:12.7823 | TRACE | WebAPIClient.Program | RunTime: 00:00:00.08
